               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12136,            0.013602,            0.040401,           0.0053861,              0.6261,            0.046689,            0.018743,             0.11543,           0.0051849,            0.041389,            0.070508,           0.0032768,           0.0032768
                   1,             0.10861,            0.018042,            0.038746,           0.0054607,             0.70769,            0.042346,            0.013585,             0.10499,           0.0063149,            0.040063,            0.040181,            0.006283,            0.006283
                   2,              0.1045,            0.019558,            0.037496,            0.026206,            0.016085,            0.017749,           0.0059366,             0.10381,           0.0061744,            0.039092,           0.0095241,           0.0089591,           0.0089591
                   3,            0.097303,            0.018074,            0.036455,             0.13007,             0.18585,            0.076342,            0.022623,            0.093467,           0.0080618,            0.037125,            0.008515,            0.008515,            0.008515
                   4,             0.09307,             0.01691,            0.036065,             0.13404,             0.23204,             0.10331,            0.031816,             0.08397,           0.0078037,            0.036499,            0.008515,            0.008515,            0.008515
                   5,            0.086676,            0.015796,            0.035927,             0.14726,             0.22868,             0.12476,            0.043639,            0.074915,           0.0065186,            0.035862,             0.00802,             0.00802,             0.00802
                   6,            0.082299,            0.014583,            0.035874,             0.13342,             0.28556,             0.11561,            0.048171,            0.075852,            0.006065,            0.035646,            0.007525,            0.007525,            0.007525
                   7,              0.0807,            0.014663,            0.035828,             0.11131,             0.36408,            0.095172,            0.028196,            0.073737,           0.0059446,            0.035688,             0.00703,             0.00703,             0.00703
                   8,            0.078556,            0.014498,            0.035694,             0.19832,             0.46583,             0.20369,            0.076837,             0.06719,            0.006103,            0.035584,            0.006535,            0.006535,            0.006535
                   9,             0.07549,            0.014469,            0.035762,             0.13973,             0.35736,             0.16441,            0.051826,            0.068017,           0.0060715,            0.034806,             0.00604,             0.00604,             0.00604
                  10,            0.073425,            0.014311,            0.035415,              0.2687,             0.36359,               0.261,            0.093167,            0.063282,            0.006041,             0.03479,            0.005545,            0.005545,            0.005545
                  11,            0.072291,            0.014314,            0.035471,             0.25987,             0.38295,             0.23009,             0.09151,            0.062749,           0.0059826,            0.034649,             0.00505,             0.00505,             0.00505
                  12,            0.071446,            0.014395,            0.035366,             0.23653,             0.38484,              0.2394,            0.081445,            0.060291,           0.0059573,            0.034669,            0.004555,            0.004555,            0.004555
                  13,            0.068489,            0.014518,            0.035028,             0.24444,             0.45566,              0.2446,             0.10462,            0.058017,           0.0058546,            0.034688,             0.00406,             0.00406,             0.00406
                  14,            0.067103,            0.014328,            0.035183,              0.2717,             0.45329,             0.27066,             0.10937,            0.058496,           0.0056748,            0.034714,            0.003565,            0.003565,            0.003565
                  15,            0.066344,            0.014338,            0.035096,             0.24861,             0.37272,             0.26437,             0.11479,            0.059423,           0.0055906,            0.034505,             0.00307,             0.00307,             0.00307
                  16,            0.066481,            0.014019,            0.035032,             0.27268,             0.38248,             0.28748,             0.12335,            0.057239,           0.0055872,            0.034448,            0.002575,            0.002575,            0.002575
                  17,            0.064359,            0.014137,            0.035153,             0.27273,             0.36984,             0.28064,             0.11163,            0.056866,           0.0055155,            0.034334,             0.00208,             0.00208,             0.00208
                  18,            0.062977,            0.014208,            0.034934,              0.2479,             0.51059,              0.2757,             0.11805,             0.05551,           0.0054383,             0.03422,            0.001585,            0.001585,            0.001585
                  19,            0.064584,            0.014267,            0.034737,             0.25256,             0.52171,             0.29402,             0.11623,            0.055632,            0.005426,            0.034205,             0.00109,             0.00109,             0.00109
